소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
44.37,서울특별시 마포구 서교동 328-12,"서울특별시 마포구 와우산로29길 14-7, 2층 (서교동)",비풀,라이브카페,193656.756784972,450323.78703389
44.07,서울특별시 마포구 서교동 490 메세나폴리스,"서울특별시 마포구 양화로 45, 몰동 1층 176호 (서교동, 메세나폴리스)",정미,한식,192311.642580307,449855.643910445
66.69,서울특별시 마포구 서교동 408-30,"서울특별시 마포구 어울마당로 42, 1층 (서교동)",동대문 엽기떡볶이 상수역점,분식,192926.677390165,449610.369210664
38.19,서울특별시 마포구 서교동 355-25,"서울특별시 마포구 홍익로5안길 24, 1층 102호 (서교동)",정이,정종/대포집/소주방,192988.884997922,450160.268023234
37.75,서울특별시 마포구 서교동 376-8 1층,"서울특별시 마포구 월드컵북로1길 72 (서교동,1층)",합정영양탕,한식,192679.082560609,450127.275919318
46.27,서울특별시 마포구 서교동 486 서교푸르지오,"서울특별시 마포구 홍익로 10, 101동 지하층 142호 (서교동, 서교푸르지오)",카츠업 홍대점,일식,193187.802952358,450172.178899424
35.00,서울특별시 마포구 서교동 378-1,"서울특별시 마포구 잔다리로7안길 3, 1층 (서교동)",커리지널,"외국음식전문점(인도,태국등)",192620.529638116,450073.782362983
87.11,서울특별시 마포구 서교동 401-12,"서울특별시 마포구 독막로7길 26, 1층 (서교동)",일일수작 홍대합정점,일식,192795.952005603,449635.850546027
34.61,서울특별시 마포구 서교동 486 서교푸르지오,"서울특별시 마포구 홍익로 10, 1층 129호 (서교동, 서교푸르지오)",레드앤그린 버거,경양식,193187.802952358,450172.178899424
136.08,서울특별시 마포구 서교동 407-25 지하1층,"서울특별시 마포구 잔다리로 9, 지하1층 (서교동)",엑스엑스,한식,193035.427946082,449815.63152776
28.71,서울특별시 마포구 서교동 396-61 기단,"서울특별시 마포구 양화로6길 57-13, 지1층 B01호중 비03호 (서교동, 기단)",옥오코노미야키,일식,192660.35991094,449669.333281712
30.87,서울특별시 마포구 서교동 486 서교푸르지오,"서울특별시 마포구 홍익로 10, 101동 지1층 지106호 (서교동, 서교푸르지오)",본죽 앤 비빔밥 홍대점,한식,193187.802952358,450172.178899424
187.00,서울특별시 마포구 서교동 360-22,"서울특별시 마포구 와우산로18길 10, 지1층 (서교동)",수지비어 부대찌게,한식,193180.321385618,449819.164271868
59.07,서울특별시 마포구 서교동 332-7,"서울특별시 마포구 와우산로29마길 10, 1층 (서교동)",크로버,한식,193442.279218594,450379.396746173
107.97,서울특별시 마포구 서교동 391-18 와와빌딩,"서울특별시 마포구 양화로7길 6-5, 지1층 (서교동, 와와빌딩)",럭키인디아,"외국음식전문점(인도,태국등)",192437.577312219,449930.212005225
155.86,서울특별시 마포구 서교동 408-27 보리수빌딩,"서울특별시 마포구 어울마당로 44-1, 보리수빌딩 지상1층 (서교동)",짬뽕지존 홍대점,중국식,192948.75126595,449633.552030935
70.00,서울특별시 마포구 서교동 410-1,"서울특별시 마포구 와우산로17길 5 (서교동, 3층일부)",벽돌포차 3층,호프/통닭,193092.926656185,449757.916541138
144.94,서울특별시 마포구 서교동 410-1,"서울특별시 마포구 와우산로17길 5 (서교동, 2층)",벽돌포차 2층,호프/통닭,193092.926656185,449757.916541138
207.09,서울특별시 마포구 서교동 410-9,"서울특별시 마포구 와우산로17길 11 (서교동, 지하1층)",어텐션,감성주점,193072.604870199,449759.376770742
161.50,서울특별시 마포구 서교동 344-6 칼리오페,"서울특별시 마포구 와우산로23길 9, 칼리오페 6층 일부호 (서교동)",번산셴,중국식,193241.196948821,450137.711902742
93.26,서울특별시 마포구 서교동 363-9,"서울특별시 마포구 잔다리로 10 (서교동, 1층일부)",용용선생 홍대점 1호점,한식,193039.717958084,449851.901366723
134.14,서울특별시 마포구 서교동 385-15 1층,"서울특별시 마포구 양화로11길 46 (서교동, 1층)",온리원갈비 합정,한식,192355.634035398,450015.876139224
